date,% CP có giá trên SMA200,% CP có giá dưới SMA200,index
2023-06-12,0.6130434782608696,0.3869565217391304,1116.02
2023-06-13,0.6636771300448431,0.3363228699551569,1122.46
2023-06-14,0.6283185840707964,0.37168141592920356,1117.42
2023-06-15,0.6334841628959276,0.36651583710407243,1116.97
2023-06-16,0.6205357142857143,0.3794642857142857,1115.22
2023-06-19,0.6272727272727273,0.3727272727272727,1105.4
2023-06-20,0.6790697674418604,0.32093023255813957,1111.72
2023-06-21,0.6830357142857143,0.3169642857142857,1118.46
2023-06-22,0.6860986547085202,0.31390134529147984,1125.3
2023-06-23,0.6858407079646017,0.3141592920353983,1129.38
2023-06-26,0.6606334841628959,0.3393665158371041,1132.03
2023-06-27,0.6788990825688074,0.3211009174311926,1134.33
2023-06-28,0.6912442396313364,0.3087557603686636,1138.35
2023-06-29,0.6651376146788991,0.3348623853211009,1125.39
2023-06-30,0.6857142857142857,0.3142857142857143,1120.18
2023-07-03,0.7135922330097088,0.28640776699029125,1125.5
2023-07-04,0.7069767441860465,0.2930232558139535,1132.0
2023-07-05,0.6995515695067265,0.3004484304932735,1134.62
2023-07-06,0.6990740740740741,0.30092592592592593,1126.22
2023-07-07,0.7251184834123223,0.2748815165876777,1138.07
2023-07-10,0.7053571428571429,0.2946428571428571,1149.02
2023-07-11,0.7130044843049327,0.2869955156950673,1151.77
2023-07-12,0.7327188940092166,0.26728110599078336,1154.2
2023-07-13,0.7276785714285714,0.2723214285714286,1165.42
2023-07-14,0.7566371681415929,0.24336283185840712,1168.4
2023-07-17,0.7435897435897436,0.2564102564102564,1173.13
2023-07-18,0.7466666666666667,0.2533333333333333,1174.09
2023-07-19,0.7307692307692307,0.2692307692307693,1172.98
2023-07-20,0.7324561403508771,0.26754385964912286,1172.81
2023-07-21,0.7478632478632479,0.25213675213675213,1185.9
2023-07-24,0.7574468085106383,0.24255319148936172,1190.72
2023-07-25,0.7372881355932204,0.2627118644067796,1195.9
2023-07-26,0.7511111111111111,0.24888888888888894,1200.84
2023-07-27,0.7649572649572649,0.2350427350427351,1197.33
2023-07-28,0.7777777777777778,0.2222222222222222,1207.67
2023-07-31,0.7974683544303798,0.20253164556962022,1222.9
2023-08-01,0.7838983050847458,0.21610169491525422,1217.56
2023-08-02,0.8026315789473685,0.19736842105263153,1220.43
2023-08-03,0.7947598253275109,0.20524017467248912,1210.95
2023-08-04,0.8122270742358079,0.18777292576419213,1225.98
2023-08-07,0.811965811965812,0.18803418803418803,1241.42
2023-08-08,0.8197424892703863,0.1802575107296137,1242.23
2023-08-09,0.8212765957446808,0.17872340425531918,1233.99
2023-08-10,0.8111587982832618,0.18884120171673824,1220.61
2023-08-11,0.84,0.16000000000000003,1232.21
